Tanggal,Tweet Id,Teks,Username
2022-06-30 03:05:38+00:00,1542343575496970240,"@Iesyeuxdelune   Hi Kak, Mhn maaf atas gangguannya. Padam di Wilayah Bintaro Sek 7 akibat adanya gangguan jaringan tegangan rendah dan saat ini masih penanganan. Mohon berkenan menunggu perbaikannya.  Agar semua makin mudah,  ayo download aplikasi New PLN Mobile, Trims - zulmi",pln_123
2022-06-30 02:22:31+00:00,1542332724094021633,"@adityasl4 Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. 
Agar semua makin mudah, ayo download aplikasi New PLN Mobile di Play Store atau Apps Store. 

Terima kasih. -Tari",pln_123
2022-06-30 01:24:31+00:00,1542318128134115329,"@hoiruz @carvilbknbata Dalam 30 hari kak? Kemarin Saya daftar pakai aplikasi PLN Mobile malam hari, besoknya sudah dihubungi untuk tanya2 pemasangan sih kak. Mungkin bisa dicek di PLN Mobile statusnya sampai mana.",VrastoAdjie
2022-06-29 22:22:07+00:00,1542272228402032640,"@eliana_elyn   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 21:19:08+00:00,1542256375694503941,"@septiantdw   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 20:59:00+00:00,1542251309423685633,"@velayathe_   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 20:48:51+00:00,1542248755449466881,"@sayurricecake   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 20:22:34+00:00,1542242138825424896,"@Riissskyyy   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 20:03:17+00:00,1542237289656360960,"@Ansarstwn   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 18:42:00+00:00,1542216830408077312,"@h_takhuri   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 18:24:19+00:00,1542212382063460352,"@rannyrendy22   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 17:55:27+00:00,1542205119034363907,"@sndiersa   Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 16:37:47+00:00,1542185573015625728,"@iniyuyo_  Terima kasih kembali Kakak, Selamat melanjutkan aktivitas dan jaga kesehatan selalu ya. untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile. Tks-Budi",pln_123
2022-06-29 16:33:49+00:00,1542184574851067906,"@ArisMu05 Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store.
(2/2)
Trims.-Asgar",pln_123
2022-06-29 16:25:17+00:00,1542182428147458048,"@Aminsyahh  Mohon maaf Kak Amin atas gangguan padam yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
2022-06-29 16:23:21+00:00,1542181939154526208,"@HelvinHTSTMM Mohon maaf atas gangguan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks -Asgar",pln_123
2022-06-29 16:22:14+00:00,1542181659549638657,"@baybaystwn Terimakasih kembali Kak, selamat malam dan tetap selalu jaga kesehatan ya. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store, Terima kasih telah menghubungi PLN 123. - Asgar",pln_123
2022-06-29 16:16:55+00:00,1542180321755422720,"@freedaey Terimakasih kembali atas informasinya, selamat malam dan sehat slalu Kak. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store, Terima kasih telah menghubungi PLN 123. - Asgar",pln_123
2022-06-29 16:15:06+00:00,1542179864668606472,@upaaaeyo  Baik Kakak. Terima kasih atas informasinya. Selamat melanjutkan aktivitas dan jaga kesehatan selalu ya. untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile. Tks - Budi,pln_123
2022-06-29 16:00:12+00:00,1542176113983492096,"@AgusE2003 Terimakasih atas informasinya Kak Agus dan tetap selalu jaga kesehatan ya. Agar semua makin mudah, ayo  download aplikasi New PLN Mobile di Play Store atau Apps Store, Terima kasih telah menghubungi PLN 123. - Asgar",pln_123
2022-06-29 15:57:42+00:00,1542175485974573057,"@VeronikaIndahS   Mohon maaf atas kendala yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Tks -Bian",pln_123
2022-06-29 15:49:01+00:00,1542173298494033922,"@ilhammrizki  Mohon maaf Kak Ilham atas gangguan padam yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
2022-06-29 15:30:21+00:00,1542168600336691200,"@baybaystwn  Mohon maaf Kakak atas gangguan padam yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
2022-06-29 15:29:38+00:00,1542168423345532929,"@moonisfriend  Mohon maaf Kakak atas keluhan yang terjadi untuk kemudahan akses layanan PLN dapat melalui Aplikasi PLN Mobile, atau kakak dapat informasikan permasalahannya melalui DM. Thanks - Budi",pln_123
